Intention to buy a Mazda,Gender,Age,Monthly family Income,Personal income,Marital status,City,Education Level household,Education Level,Social Class,When will purchase new car in months,TV ad x Mazda,Car Magazines Ad x Mazda,Online search x Mazda,Corporate website x Mazda,Internet Ad x Mazda,Test drive x Mazda,Car in dealer showroom x Mazda,Sales person at dealer x Mazda,Ads info in dealer showroom x Mazda,Car seen on street x Mazda,Professional reco mechanic etc x Mazda,Article in newspaper x Mazda,Car display in public places x Mazda,Actual Make of Car
1. High,Male ,26,6,5,Divorced,Sao Paulo ,4,4,4,5,Maybe,Maybe,Maybe,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,MITSUBISHI 
1. High,Male ,38,5,3,Divorced,Recife/Salvador/Fortaleza ,3,4,5,2,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,CITROEN 
1. High,Male ,48,7,5,Divorced,Belo Horizonte ,4,5,2,3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,FIAT 
1. High,Female ,32,6,4,Divorced,Rio de Janeiro ,5,5,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CHEVROLET/GM 
1. High,Male ,31,5,5,Divorced,Belo Horizonte ,5,5,2,2,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FIAT 
1. High,Female ,28,6,4,Divorced,Sao Paulo ,5,5,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FIAT 
1. High,Male ,47,6,6,Divorced,Brasilia/Goiania ,5,5,4,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,DESOTO 
1. High,Female ,25,3,3,Divorced,Rio de Janeiro ,5,4,5,3,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes, 
1. High,Male ,60,3,3,Divorced,Sao Paulo ,4,4,4,4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,VW 
1. High,Male ,24,6,3,Divorced,Rio de Janeiro ,4,4,5,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MITSUBISHI 
1. High,Male ,45,3,1,Divorced,Rio de Janeiro ,3,5,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,VW 
1. High,Male ,23,4,4,Divorced,Sao Paulo ,4,4,5,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,HYUNDAI 
3. Low,Female ,53,6,4,Maried,Sao Paulo ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FORD 
3. Low,Male ,24,5,4,Maried,Rio de Janeiro ,5,5,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,FIAT 
3. Low,Male ,44,4,3,Maried,Sao Paulo ,4,4,5,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FORD 
3. Low,Female ,23,5,2,Maried,Sao Paulo ,5,4,4,6,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,No,CITROEN 
3. Low,Male ,36,5,5,Maried,Sao Paulo ,3,3,2,5,Maybe,Maybe,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Female ,28,5,5,Maried,Rio de Janeiro ,5,5,2,4,No,No,No,No,No,No,No,No,No,No,No,No,No, 
3. Low,Female ,31,4,2,Maried,Sao Paulo ,5,5,4,6,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,57,6,6,Maried,Sao Paulo ,5,5,3,2,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FIAT 
3. Low,Male ,32,5,4,Maried,POA/Curitiba/Floripa ,4,4,5,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FORD 
3. Low,Male ,30,4,4,Maried,Belo Horizonte ,4,4,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,FIAT 
3. Low,Male ,32,5,5,Maried,Rio de Janeiro ,4,4,4,5,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,28,4,3,Maried,Recife/Salvador/Fortaleza ,5,5,2,5,No,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,27,5,5,Maried,Sao Paulo ,5,5,4,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,43,5,4,Maried,Rio de Janeiro ,5,5,4,5,No,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
3. Low,Female ,37,6,5,Maried,Belo Horizonte ,5,5,4,3,No,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,30,5,5,Maried,Sao Paulo ,4,4,4,5,Maybe,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
3. Low,Male ,33,5,4,Maried,Rio de Janeiro ,4,4,4,2,Maybe,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Female ,25,4,3,Maried,Rio de Janeiro ,4,4,5,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Female ,26,6,6,Maried,Rio de Janeiro ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,CADILLAC 
3. Low,Female ,33,7,4,Maried,Sao Paulo ,5,5,2,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,HONDA 
3. Low,Male ,35,5,4,Maried,Sao Paulo ,5,5,2,1,No,No,No,No,No,No,No,No,No,No,No,No,No,HONDA 
3. Low,Male ,53,7,2,Maried,Rio de Janeiro ,4,4,3,6,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,No,No,HYUNDAI 
3. Low,Male ,28,5,5,Maried,Belo Horizonte ,4,4,4,2,No,No,No,No,No,No,No,No,No,No,No,No,No,HYUNDAI 
3. Low,Male ,39,5,4,Maried,Rio de Janeiro ,5,5,4,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,RENAULT 
3. Low,Male ,24,5,4,Maried,Rio de Janeiro ,5,5,5,4,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,29,3,3,Maried,Rio de Janeiro ,4,4,5,3,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,No,VW 
3. Low,Female ,37,6,4,Maried,Rio de Janeiro ,5,4,3,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,VW 
3. Low,Male ,33,6,4,Maried,Rio de Janeiro ,4,4,4,3,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,No, 
3. Low,Female ,61,6,4,Maried,Sao Paulo ,4,5,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No, 
3. Low,Male ,43,7,5,Maried,Belo Horizonte ,5,5,3,5,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,No,VW 
3. Low,Female ,60,8,7,Maried,Sao Paulo ,5,5,1,1,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,CARBODIES 
3. Low,Male ,35,7,5,Maried,Sao Paulo ,5,5,2,3,No,No,No,No,No,No,No,No,No,No,No,No,No, 
3. Low,Male ,40,7,5,Maried,Sao Paulo ,5,5,2,4,Maybe,No,No,No,No,No,No,No,No,No,No,No,No,RENAULT 
3. Low,Female ,40,7,5,Maried,Sao Paulo ,4,4,2,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
3. Low,Male ,53,6,5,Maried,Rio de Janeiro ,4,4,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Female ,44,7,6,Maried,Sao Paulo ,5,5,2,3,No,No,No,No,No,No,No,No,No,No,No,No,No,HONDA 
3. Low,Male ,29,5,4,Maried,Belo Horizonte ,5,5,2,4,No,No,No,No,No,No,No,No,No,No,No,No,No,RENAULT 
3. Low,Male ,50,6,6,Maried,Recife/Salvador/Fortaleza ,5,5,2,4,No,No,No,No,No,No,No,No,No,No,No,No,No,TOYOTA 
3. Low,Male ,31,4,3,Maried,Sao Paulo ,5,5,2,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
3. Low,Male ,37,6,4,Maried,Sao Paulo ,5,5,3,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,CHEVROLET/GM 
3. Low,Male ,55,6,5,Maried,Sao Paulo ,5,5,3,6,Maybe,No,No,No,No,No,No,No,No,No,No,No,No, 
3. Low,Male ,48,6,5,Maried,POA/Curitiba/Floripa ,4,4,4,2,No,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Female ,33,6,5,Maried,Sao Paulo ,5,5,3,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,VW 
3. Low,Male ,37,6,4,Maried,Sao Paulo ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,40,8,8,Maried,Rio de Janeiro ,4,4,3,1,No,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
3. Low,Male ,34,7,7,Maried,Sao Paulo ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,MITSUBISHI 
3. Low,Female ,28,4,9,Maried,POA/Curitiba/Floripa ,4,4,4,3,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,65,3,2,Maried,Brasilia/Goiania ,5,5,4,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,CADILLAC 
3. Low,Male ,31,5,5,Maried,Sao Paulo ,4,4,5,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,VW 
3. Low,Male ,50,8,5,Maried,Sao Paulo ,4,4,2,5,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
2. Medium,Female ,27,4,4,Maried,Recife/Salvador/Fortaleza ,4,4,5,3,No,No,No,No,Yes,No,No,No,No,No,No,No,No,FIAT 
2. Medium,Female ,28,6,5,Maried,Sao Paulo ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,HONDA 
2. Medium,Male ,24,6,5,Maried,Sao Paulo ,5,5,4,2,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
2. Medium,Male ,38,5,5,Maried,Sao Paulo ,4,4,4,4,No,No,No,No,No,No,No,No,No,No,No,No,No,HONDA 
2. Medium,Female ,28,5,3,Maried,Sao Paulo ,5,5,5,5,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,Yes,No,No,No,No,CITROEN 
2. Medium,Male ,35,4,4,Maried,Rio de Janeiro ,4,4,4,3,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,Yes,No,No,No,No,CHEVROLET/GM 
2. Medium,Male ,43,4,3,Maried,POA/Curitiba/Floripa ,4,4,4,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,FIAT 
2. Medium,Female ,30,7,5,Maried,Rio de Janeiro ,5,5,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,No,No,CHEVROLET/GM 
2. Medium,Male ,32,6,6,Maried,Belo Horizonte ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,Yes,No,No,No,FIAT 
2. Medium,Female ,43,4,4,Maried,Brasilia/Goiania ,5,5,3,1,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,CHEVROLET/GM 
2. Medium,Male ,30,7,6,Maried,Sao Paulo ,5,5,3,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,HONDA 
2. Medium,Female ,50,5,5,Maried,Sao Paulo ,4,4,5,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,FORD 
2. Medium,Female ,23,3,2,Maried,Sao Paulo ,4,4,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,VW 
2. Medium,Female ,34,5,3,Maried,Belo Horizonte ,4,5,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,VW 
2. Medium,Male ,45,7,7,Maried,Brasilia/Goiania ,5,5,2,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,HYUNDAI 
2. Medium,Female ,29,4,2,Maried,POA/Curitiba/Floripa ,4,4,5,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,CITROEN 
2. Medium,Male ,43,7,6,Maried,POA/Curitiba/Floripa ,5,5,2,6,Yes,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
2. Medium,Male ,31,4,4,Maried,Sao Paulo ,5,5,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,CHEVROLET/GM 
2. Medium,Male ,29,6,4,Maried,POA/Curitiba/Floripa ,5,5,4,5,No,No,No,No,No,No,No,No,No,Yes,No,No,No,KIA 
2. Medium,Male ,51,8,8,Maried,Sao Paulo ,5,5,2,6,Maybe,Maybe,Yes,No,No,No,No,No,No,Yes,No,No,No,HYUNDAI 
2. Medium,Female ,32,5,4,Maried,Rio de Janeiro ,5,5,3,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,TOYOTA 
2. Medium,Male ,39,7,7,Maried,Rio de Janeiro ,5,5,2,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,HONDA 
2. Medium,Male ,35,7,7,Maried,POA/Curitiba/Floripa ,4,5,2,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,Yes,No,No,No,No,HYUNDAI 
2. Medium,Female ,26,3,2,Maried,POA/Curitiba/Floripa ,5,5,4,5,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
2. Medium,Female ,30,5,3,Maried,Sao Paulo ,4,4,2,5,No,No,No,No,No,No,No,No,No,Yes,No,No,No,CHEVROLET/GM 
2. Medium,Male ,26,4,4,Maried,Sao Paulo ,5,5,5,3,Maybe,Maybe,Maybe,Maybe,Yes,No,No,No,No,Yes,No,No,No,VW 
2. Medium,Female ,27,4,2,Maried,POA/Curitiba/Floripa ,5,5,5,5,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,FIAT 
2. Medium,Female ,32,4,2,Maried,Recife/Salvador/Fortaleza ,4,4,4,1,No,No,No,No,No,No,No,No,No,No,No,No,No,FIAT 
2. Medium,Male ,32,4,3,Maried,Sao Paulo ,5,4,5,6,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,FORD 
2. Medium,Male ,25,6,3,Maried,Sao Paulo ,4,4,4,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,HYUNDAI 
2. Medium,Female ,24,4,2,Maried,Sao Paulo ,4,4,4,6,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
2. Medium,Female ,26,5,3,Maried,Sao Paulo ,5,5,4,3,No,No,No,No,No,No,No,No,No,No,No,No,No,RENAULT 
2. Medium,Female ,43,6,4,Maried,Sao Paulo ,4,4,4,5,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,HONDA 
2. Medium,Male ,24,6,4,Maried,Recife/Salvador/Fortaleza ,4,4,4,1,No,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
2. Medium,Female ,33,6,5,Maried,Sao Paulo ,5,5,3,4,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,VW 
2. Medium,Female ,27,7,5,Maried,Rio de Janeiro ,5,5,4,5,Maybe,Maybe,Maybe,Maybe,No,No,Yes,Yes,No,No,No,No,No,FIAT 
2. Medium,Male ,51,6,5,Maried,Rio de Janeiro ,5,5,4,4,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,FORD 
2. Medium,Male ,28,6,6,Maried,POA/Curitiba/Floripa ,5,5,5,3,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,FORD 
2. Medium,Male ,28,5,5,Maried,Brasilia/Goiania ,5,5,3,5,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,FIAT 
2. Medium,Male ,29,6,6,Maried,Rio de Janeiro ,4,4,4,5,Maybe,No,No,No,Yes,No,No,No,No,No,No,No,No,HYUNDAI 
2. Medium,Female ,38,6,6,Maried,Sao Paulo ,5,5,3,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,HYUNDAI 
2. Medium,Female ,21,4,4,Maried,Brasilia/Goiania ,5,5,4,5,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,RENAULT 
2. Medium,Male ,24,5,2,Maried,Recife/Salvador/Fortaleza ,4,4,5,3,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,FIAT 
2. Medium,Male ,48,7,6,Maried,Recife/Salvador/Fortaleza ,5,5,2,5,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,RENAULT 
2. Medium,Male ,28,7,6,Maried,Rio de Janeiro ,5,5,3,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,No,Yes,No,Yes,No,CHEVROLET/GM 
2. Medium,Female ,34,5,5,Maried,POA/Curitiba/Floripa ,5,5,2,6,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,RENAULT 
2. Medium,Female ,31,5,4,Maried,Rio de Janeiro ,4,4,4,3,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,FIAT 
1. High,Male ,24,6,5,Maried,Belo Horizonte ,5,5,4,4,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,CADILLAC 
1. High,Male ,56,5,5,Maried,Brasilia/Goiania ,5,5,3,3,Maybe,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,HYUNDAI 
1. High,Male ,57,8,8,Maried,Brasilia/Goiania ,5,5,2,4,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,HYUNDAI 
1. High,Male ,37,8,7,Maried,POA/Curitiba/Floripa ,5,5,4,4,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,FORD 
1. High,Male ,29,5,5,Maried,Belo Horizonte ,5,5,4,3,Maybe,Maybe,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,FIAT 
1. High,Male ,34,6,3,Maried,Recife/Salvador/Fortaleza ,5,5,4,2,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,CHEVROLET/GM 
1. High,Female ,54,4,4,Maried,Sao Paulo ,4,4,4,5,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
1. High,Male ,40,7,7,Maried,Sao Paulo ,5,5,1,4,Maybe,Maybe,No,Yes,No,No,No,No,No,Yes,No,No,No,FORD 
1. High,Female ,29,5,5,Maried,Sao Paulo ,4,4,4,4,Maybe,Maybe,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,PEUGEOT 
1. High,Male ,28,4,2,Maried,Sao Paulo ,4,4,5,2,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,No,No,Yes,No,CHEVROLET/GM 
1. High,Male ,42,6,4,Maried,Recife/Salvador/Fortaleza ,4,4,4,4,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,FIAT 
1. High,Male ,34,6,5,Maried,Recife/Salvador/Fortaleza ,5,5,4,2,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,HONDA 
1. High,Male ,33,7,7,Maried,Sao Paulo ,5,5,4,5,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,HONDA 
1. High,Female ,25,6,5,Maried,Sao Paulo ,4,4,5,3,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,Yes,Yes,Yes,No,Yes,No,VW 
1. High,Female ,29,6,5,Maried,Sao Paulo ,5,5,2,3,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,HONDA 
1. High,Male ,32,5,5,Maried,Sao Paulo ,4,4,4,3,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,Yes,Yes,Yes,Yes,No,VW 
1. High,Male ,46,5,4,Maried,Sao Paulo ,5,5,3,3,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,FIAT 
1. High,Male ,28,5,4,Maried,Brasilia/Goiania ,4,4,6,2,Maybe,Maybe,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,FIAT 
1. High,Male ,56,5,5,Maried,Brasilia/Goiania ,5,5,3,3,Maybe,Maybe,Maybe,No,No,Yes,No,No,Yes,Yes,No,No,No,HYUNDAI 
1. High,Male ,45,5,4,Maried,Recife/Salvador/Fortaleza ,4,4,3,5,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,VW 
1. High,Male ,60,8,8,Maried,Sao Paulo ,5,5,2,3,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,HYUNDAI 
1. High,Male ,34,6,4,Maried,Brasilia/Goiania ,2,5,5,3,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,VW 
1. High,Male ,28,4,2,Maried,Sao Paulo ,4,4,5,3,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,CHEVROLET/GM 
1. High,Male ,34,7,6,Maried,POA/Curitiba/Floripa ,5,5,4,3,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,HYUNDAI 
1. High,Female ,35,6,6,Maried,Brasilia/Goiania ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,Yes,No,No,No,No,Yes,Yes,No,No,CHEVROLET/GM 
1. High,Female ,30,6,6,Maried,Belo Horizonte ,5,5,3,5,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,HYUNDAI 
1. High,Male ,49,6,6,Maried,Sao Paulo ,5,5,2,4,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,VW 
1. High,Female ,33,6,4,Maried,Sao Paulo ,5,4,4,3,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,CHEVROLET/GM 
1. High,Male ,44,7,5,Maried,Brasilia/Goiania ,5,4,4,2,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,VW 
1. High,Female ,29,6,5,Maried,Sao Paulo ,5,5,3,4,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,FORD 
1. High,Female ,25,6,5,Maried,Sao Paulo ,4,4,4,2,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No, 
1. High,Male ,38,5,4,Maried,POA/Curitiba/Floripa ,5,5,3,6,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,CROSS LANDER 
1. High,Male ,65,8,7,Maried,Sao Paulo ,5,5,3,1,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,FORD 
1. High,Female ,26,6,2,Maried,Brasilia/Goiania ,5,5,2,4,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,HONDA 
1. High,Male ,48,6,6,Maried,Rio de Janeiro ,3,3,5,4,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,FIAT 
1. High,Female ,39,5,5,Maried,Recife/Salvador/Fortaleza ,4,4,4,5,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,FIAT 
1. High,Female ,26,4,1,Maried,Recife/Salvador/Fortaleza ,4,5,4,5,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,VW 
1. High,Male ,40,7,6,Maried,Sao Paulo ,5,5,2,3,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,PEUGEOT 
1. High,Female ,27,4,3,Maried,Brasilia/Goiania ,5,5,5,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,FORD 
1. High,Female ,29,6,5,Maried,Sao Paulo ,5,5,4,3,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,RENAULT 
1. High,Female ,27,4,2,Maried,Sao Paulo ,4,4,5,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,RENAULT 
1. High,Female ,26,3,2,Maried,Recife/Salvador/Fortaleza ,4,4,6,3,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,FIAT 
1. High,Female ,39,7,6,Maried,Brasilia/Goiania ,5,5,4,2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,HYUNDAI 
1. High,Male ,24,5,5,Maried,Sao Paulo ,5,5,2,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,CHEVROLET/GM 
1. High,Male ,46,5,5,Maried,Belo Horizonte ,4,4,4,3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,FIAT 
1. High,Male ,20,8,7,Maried,Recife/Salvador/Fortaleza ,5,5,2,1,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,CHEVROLET/GM 
1. High,Male ,60,7,5,Maried,Brasilia/Goiania ,5,5,2,3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,VW 
1. High,Male ,32,8,6,Maried,Rio de Janeiro ,5,5,4,2,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,VW 
1. High,Male ,20,8,6,Maried,Recife/Salvador/Fortaleza ,5,5,2,2,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,VW 
1. High,Male ,37,4,3,Maried,Rio de Janeiro ,4,4,5,4,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,CHEVROLET/GM 
1. High,Male ,38,5,4,Maried,Sao Paulo ,4,4,5,6,Maybe,Maybe,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CHEVROLET/GM 
1. High,Female ,41,6,4,Maried,Sao Paulo ,4,4,4,3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,FIAT 
