Level of Risk,Date,Employment Length,Previous Home Ownership,Business Consumer,Customer Age in year,Bank,Salary,Down Payment,Down Payment Ratio,Market Value,LastDecision Score
2. Average,1/2/14,8,mortgage,Business,42.8,,,2359.17,3.08,351510.3513,Yes
1. Good,1/1/14,4,rent,Business,37.3,,,0,0,209228.4051,Yes
2. Average,12/31/13,8,mortgage,Business,26.2,,,0,0,177149.0705,Yes
1. Good,12/30/13,10,mortgage,Consumer,47.1,JPMorgan Chase,2000,0,0,293164.7513,No
1. Good,12/29/13,5,rent,Consumer,34.4,Citigroup,1440,20100,28.63,299397.3892,Yes
1. Good,12/28/13,10,mortgage,Business,43.8,,,1495.77,2.84,213124.8817,Yes
3. Risk,12/27/13,3,mortgage,Business,56.1,Bank of America,,1220.46,1.73,168067.0896,Yes
2. Average,12/26/13,0,rent,Consumer,34.1,US Bancorp,1255,53700,80.17,675448.9061,Yes
1. Good,12/25/13,10,own,Consumer,30.7,Bank of America,1200,0,0,289938.9893,Yes
1. Good,12/24/13,1,rent,Consumer,34.8,HSBC,7749,946.59,2.27,154971.3576,Yes
1. Good,12/23/13,0,own,Business,47.8,HSBC,,3332.07,2.22,356646.3004,Yes
1. Good,12/22/13,,rent,Business,34.6,The Bank of New York Mellon,,1784.52,3.08,286532.6142,Yes
1. Good,12/21/13,9,rent,Business,45.8,,,1602.45,1.89,185471.57,Yes
1. Good,12/20/13,0,rent,Business,41.7,Foreign Bank,,957.18,2.11,133648.466,Yes
1. Good,12/19/13,2,mortgage,Consumer,51.5,Citigroup,2038,0,0,149682.7796,Yes
1. Good,12/18/13,10,rent,Consumer,40.2,US Bancorp,1500,44040,43.78,564413.9522,Yes
2. Average,12/17/13,10,mortgage,Consumer,30.9,Citigroup,1396,15000,19.46,170326.7727,Yes
1. Good,12/16/13,10,mortgage,Consumer,24.1,Citigroup,1347.92,0,0,225353.0481,Yes
2. Average,12/15/13,0,rent,Business,41.8,Citigroup,,3728.85,2.24,544726.755,Yes
1. Good,12/14/13,5,mortgage,Consumer,40.6,,4000,20946.6,30,286400.3834,Yes
1. Good,12/13/13,10,mortgage,Consumer,45.6,Citigroup,3038.67,90000,53.56,1072741.545,Yes
1. Good,12/12/13,10,mortgage,Consumer,52.8,,2280,51615,69.64,738107.3836,Yes
2. Average,12/11/13,10,rent,Consumer,33.8,Bank of America,2600,8160,12.35,94042.13435,Yes
1. Good,12/10/13,10,rent,Consumer,49.3,Wells Fargo,4728,0,0,310091.8064,Yes
1. Good,12/9/13,10,mortgage,Consumer,48.2,Bank of America,2100,21000,29.67,286532.6142,No
1. Good,12/8/13,4,mortgage,Consumer,37.5,,5000,15004.32,17.44,191639.216,Yes
1. Good,12/7/13,10,mortgage,Consumer,44.9,,1500,0,0,226380.6578,Yes
1. Good,12/6/13,10,mortgage,Consumer,79.3,Foreign Bank,3000,71538,90.51,785301.982,Yes
1. Good,12/5/13,3,mortgage,Business,46.3,Wells Fargo,,746.19,2.02,321735.5045,Yes
1. Good,12/4/13,10,rent,Consumer,56.2,Bank of America,2805,30417,40.33,433512.0639,Yes
1. Good,12/3/13,10,mortgage,Consumer,36.9,PNC,4000,63000,72.66,911354.5421,Yes
2. Average,12/2/13,10,mortgage,Business,35.6,,,1860.69,2.43,251954.8673,Yes
1. Good,12/1/13,,rent,Business,68.9,The Bank of New York Mellon,,1141.74,1.55,159066.2476,Yes
2. Average,11/30/13,0,mortgage,Consumer,26.3,The Bank of New York Mellon,2400,0,0,171585.9472,Yes
3. Risk,11/29/13,10,mortgage,,,,0,1726.26,2.22,286400.3834,Yes
2. Average,11/28/13,10,mortgage,Consumer,25.6,Citigroup,2000,4500,8.98,62903.74626,Yes
1. Good,11/27/13,,rent,Consumer,33,The Bank of New York Mellon,0,0,0,237505.4559,Yes
1. Good,11/26/13,5,rent,Consumer,35.8,Citigroup,1511,18423.75,25,243820.5505,No
1. Good,11/25/13,0,rent,Business,30,Foreign Bank,,1713.39,1.66,242930.382,Yes
1. Good,11/24/13,10,mortgage,Consumer,34.4,JPMorgan Chase,3900,0,0,286695.8174,Yes
1. Good,11/23/13,2,mortgage,Consumer,34.8,,1954,0,0,159066.2476,Yes
1. Good,11/22/13,10,own,Consumer,35.4,,5870,42054,34.24,585747.9152,Yes
3. Risk,11/21/13,5,mortgage,Consumer,32.7,PNC,1850,15000,26.1,186606.0347,Yes
1. Good,11/20/13,10,mortgage,Consumer,20.3,Bank of America,1090,3000,7.36,321968.7574,Yes
2. Average,11/19/13,10,mortgage,Consumer,28.7,US Bancorp,4205,2233.05,2.06,272773.668,Yes
1. Good,11/18/13,2,own,Consumer,59.6,Wells Fargo,1150,0,0,167344.5349,Yes
1. Good,11/17/13,5,rent,Business,64.6,HSBC,,1439.37,2.72,169014.9685,Yes
2. Average,11/16/13,10,mortgage,Business,68.8,Wells Fargo,,2334.51,2.4,382260.8454,Yes
1. Good,11/15/13,7,mortgage,Consumer,52.6,JPMorgan Chase,2230,27000,76.71,388426.6748,Yes
2. Average,11/14/13,10,mortgage,Consumer,29.7,,2500,27000,20.5,323855.9703,Yes
1. Good,11/13/13,4,rent,Consumer,53.9,Wells Fargo,2400,15000,18.3,191847.6698,Yes
1. Good,11/12/13,8,rent,Consumer,49,,2300,32670,54.75,450283.6599,Yes
1. Good,11/11/13,,mortgage,Consumer,21.5,The Bank of New York Mellon,1300,30000,59.52,322235.3814,Yes
1. Good,11/10/13,10,rent,Consumer,23.3,Bank of America,1050,22478.97,51.82,245067.7269,No
2. Average,11/9/13,,mortgage,Consumer,23.4,Bank of America,1550,0,0,255889.1425,Yes
1. Good,11/8/13,2,mortgage,Consumer,41.3,,3100,0,0,155778.537,Yes
1. Good,11/7/13,10,own,Consumer,47.3,JPMorgan Chase,2600,40950,81.98,428831.523,Yes
2. Average,11/6/13,1,rent,Business,38.8,,,2314.95,2.92,388426.6748,Yes
1. Good,11/5/13,5,rent,Consumer,74.4,JPMorgan Chase,2070,15720,20,181956.1332,Yes
2. Average,11/4/13,8,mortgage,Business,38.1,,,0,0,172275.1217,Yes
1. Good,11/3/13,6,rent,Consumer,49.4,Wells Fargo,1562,21012.3,30,298462.8493,Yes
1. Good,11/2/13,1,rent,Business,53.5,,,1656.15,2.27,253857.0568,Yes
1. Good,11/1/13,4,own,Business,57.8,Citigroup,,15000,18.52,210510.423,Yes
1. Good,10/31/13,10,mortgage,Consumer,56.8,Wells Fargo,13512,45241.08,45.26,463261.6493,Yes
2. Average,10/30/13,0,rent,Consumer,23.2,Citigroup,2612,1365.48,1.79,176205.9688,Yes
1. Good,10/29/13,,mortgage,Consumer,28.5,The Bank of New York Mellon,2300,28506,56.06,427567.4113,Yes
1. Good,10/28/13,4,mortgage,Consumer,23.3,PNC,1500,14999.7,17.18,190767.199,Yes
1. Good,10/27/13,5,mortgage,Consumer,41.5,US Bancorp,1102,16822.05,35,185205.1062,Yes
2. Average,10/26/13,10,rent,Business,37.3,,,0,0,216836.4218,Yes
1. Good,10/25/13,3,rent,Consumer,54.6,Wells Fargo,3400,2700,7.03,418203.9133,Yes
1. Good,10/24/13,8,mortgage,Consumer,45.8,Citigroup,1837,30900,67.32,436855.1841,Yes
1. Good,10/23/13,10,mortgage,Consumer,44.7,Citigroup,2000,64964.97,81.24,785064.1718,Yes
1. Good,10/22/13,1,own,Consumer,27.5,,1058,6000,9.09,76947.20243,Yes
1. Good,10/21/13,0,own,Consumer,53.2,HSBC,9500,3390.09,1.97,383332.2535,Yes
1. Good,10/20/13,6,mortgage,Consumer,62.6,,1105.75,21494.97,50.37,294347.1853,Yes
1. Good,10/19/13,4,rent,Business,59.9,,,1882.53,1.9,308923.0933,Yes
1. Good,10/18/13,9,mortgage,Consumer,31.7,PNC,2400,39408,72.43,552635.2944,Yes
1. Good,10/17/13,0,own,Consumer,56.8,US Bancorp,5000,3898.23,9.77,51367.03049,Yes
1. Good,10/16/13,5,rent,Consumer,50.1,Citigroup,1230,0,0,205191.7017,Yes
1. Good,10/15/13,5,rent,Consumer,33.2,Citigroup,1274,0,0,157253.9587,Yes
2. Average,10/14/13,10,mortgage,Consumer,23.5,US Bancorp,2200,15000,15.97,153138.1861,Yes
1. Good,10/13/13,10,mortgage,Business,43.8,,,1504.41,2.8,198366.0308,Yes
1. Good,10/12/13,,own,Business,43.3,Bank of America,,0,0,346826.399,Yes
2. Average,10/11/13,10,mortgage,Consumer,26,Wells Fargo,3116,6000,6.14,71190.90168,Yes
1. Good,10/10/13,3,mortgage,Consumer,35.6,,2900,12000,25,125416.2802,Yes
1. Good,10/9/13,0,mortgage,Consumer,45.3,,929,1951.95,2.51,338702.2881,Yes
1. Good,10/8/13,6,rent,Consumer,57.3,Citigroup,1194,21000,31.53,305020.1503,Yes
1. Good,10/7/13,7,rent,Consumer,38.6,Citigroup,9886,934.38,2.27,150719.8257,Yes
1. Good,10/6/13,9,own,Consumer,60,HSBC,3467,38220,33.76,562104.943,Yes
1. Good,10/5/13,2,mortgage,Consumer,31.8,JPMorgan Chase,2274,9000,13.22,125683.752,Yes
1. Good,10/4/13,0,mortgage,Consumer,52.4,Wells Fargo,3400,0,0,134030.8146,Yes
1. Good,10/3/13,9,rent,Consumer,46.8,Wells Fargo,1750,34695,50,384899.1469,Yes
1. Good,10/2/13,3,mortgage,Business,45,Foreign Bank,,13563,10,171905.7294,Yes
2. Average,10/1/13,0,rent,Consumer,25,HSBC,1724,3000,7.53,370541.6993,Yes
1. Good,9/30/13,10,rent,Business,43,,,59490,30,748986.2708,Yes
1. Good,9/29/13,3,rent,Business,41.2,HSBC,,1596.27,1.78,212813.515,Yes
1. Good,9/28/13,10,mortgage,Consumer,34.8,Citigroup,1900,0,0,254972.5937,Yes
1. Good,9/27/13,10,mortgage,Business,43.8,Citigroup,,51138,41.87,562343.0689,Yes
1. Good,9/26/13,10,mortgage,Consumer,22,,1500,0,0,285963.661,Yes
1. Good,9/25/13,2,rent,Consumer,25.8,,1730,9210,10,110575.6913,Yes
2. Average,9/24/13,0,rent,Consumer,22.5,,1775,3930,8.2,45530.99585,Yes
1. Good,9/23/13,10,rent,Consumer,62.1,Bank of America,1550,7968,17.74,98877.00603,Yes
1. Good,9/22/13,3,mortgage,Consumer,46.3,,2600,10499.28,9.02,138318.9061,Yes
1. Good,9/21/13,9,own,Consumer,44.4,HSBC,1958,34800,57.29,455778.612,Yes
1. Good,9/20/13,10,own,Consumer,41.8,Citigroup,5700,1843.68,1.9,295210.6784,Yes
1. Good,9/19/13,10,mortgage,Consumer,49.2,JPMorgan Chase,8330,45000,46.12,630483.2032,Yes
1. Good,9/18/13,0,own,Consumer,32.6,JPMorgan Chase,1883,3000,11.25,361491.4647,Yes
1. Good,9/17/13,3,rent,Consumer,54.3,JPMorgan Chase,2292,10323,26.44,107308.5599,No
1. Good,9/16/13,10,mortgage,Consumer,37.5,HSBC,2300,1099.77,1.89,178540.3199,No
1. Good,9/15/13,10,mortgage,Consumer,58.1,Foreign Bank,4500,131000.66,84.7,1507581.199,Yes
1. Good,9/14/13,,mortgage,Consumer,46.8,The Bank of New York Mellon,4803.91,0,0,274290.5571,Yes
1. Good,9/13/13,10,mortgage,Consumer,64.1,JPMorgan Chase,4699,0,0,238176.3457,Yes
2. Average,9/12/13,10,rent,Consumer,31.2,Wells Fargo,1421,6900,17.29,83721.95323,Yes
2. Average,9/11/13,10,rent,Consumer,23.5,,2300,0,0,242842.3335,Yes
1. Good,9/10/13,7,mortgage,Consumer,53.9,JPMorgan Chase,3100,1497.66,2.18,173479.1171,Yes
1. Good,9/9/13,2,rent,Consumer,71.5,Citigroup,2586,8700,23.39,109754.7227,Yes
1. Good,9/8/13,10,rent,Consumer,23.7,Bank of America,1311,23502,53.05,299539.5211,Yes
1. Good,9/7/13,5,mortgage,Consumer,48.3,Citigroup,2145,16980,19.8,211388.2379,Yes
1. Good,9/6/13,0,own,Consumer,46.8,Wells Fargo,1227,4500,12.71,52099.76036,Yes
1. Good,9/5/13,10,rent,Consumer,37,Bank of America,1100,41100,63.13,499506.5928,Yes
1. Good,9/4/13,3,mortgage,Consumer,60.2,,2000,13065,30.34,177970.5216,Yes
1. Good,9/3/13,10,mortgage,Consumer,56.3,,1718,40770,62.95,601180.3309,Yes
2. Average,9/2/13,6,rent,Business,43,,,0,0,195965.7164,Yes
1. Good,9/1/13,5,mortgage,Consumer,35.5,,1800,15924,57.03,228530.3602,Yes
1. Good,8/31/13,10,rent,Consumer,35,,0,1712.04,1.74,293164.7513,Yes
1. Good,8/30/13,0,own,Business,57.3,,,3391.38,2.74,489970.9276,Yes
1. Good,8/29/13,3,rent,Consumer,56.8,,2000,11452.5,15,169015.0481,Yes
2. Average,8/28/13,10,mortgage,Business,38.2,,,2359.17,3.08,359689.0968,Yes
2. Average,8/27/13,10,own,Business,44.3,,,2359.17,3.08,365917.3435,Yes
1. Good,8/26/13,10,mortgage,Consumer,64.2,,13790,154101.29,78.35,1595593.729,Yes
1. Good,8/25/13,10,own,Consumer,24.8,Citigroup,1300,69567,90.27,961544.6639,Yes
1. Good,8/24/13,9,rent,Consumer,43.9,Foreign Bank,0,920.25,1.58,133261.0291,Yes
1. Good,8/23/13,,own,Consumer,74.2,The Bank of New York Mellon,5430,37495.17,30.22,450158.2338,Yes
2. Average,8/22/13,10,mortgage,Consumer,21.8,,2312,0,0,184133.7365,Yes
1. Good,8/21/13,5,own,Business,45.6,HSBC,,1277.28,2.1,221176.5565,Yes
1. Good,8/20/13,2,mortgage,Consumer,53.6,,1520.91,9000,18.68,119601.3229,Yes
1. Good,8/19/13,5,mortgage,Consumer,77.1,HSBC,1040,18840,63.43,258707.5228,Yes
1. Good,8/18/13,10,rent,Consumer,23.5,Bank of America,1183.44,5100,14.58,64769.83974,Yes
3. Risk,8/17/13,3,rent,Consumer,31,JPMorgan Chase,3595,41444.7,30.15,578093.7556,Yes
1. Good,8/16/13,7,rent,Business,43.8,,,1157.97,2.94,201981.4828,Yes
2. Average,8/15/13,0,mortgage,Consumer,54.4,,7842,24600,13.02,261695.3347,Yes
1. Good,8/14/13,1,own,Business,48.9,,,4742.01,2.83,60209.38562,Yes
1. Good,8/13/13,2,rent,Business,54.3,,,0,0,162821.0997,Yes
2. Average,8/12/13,10,mortgage,Consumer,40.5,Citigroup,2800,7500,10,81733.67644,Yes
1. Good,8/11/13,,mortgage,Business,45.1,The Bank of New York Mellon,,1994.31,1.96,286920.2086,Yes
2. Average,8/10/13,2,own,Business,37.2,,,2359.17,3.08,381328.3367,Yes
1. Good,8/9/13,,rent,Consumer,44.9,The Bank of New York Mellon,1100,31473,73.41,370541.6993,Yes
1. Good,8/8/13,10,mortgage,Consumer,33.6,Foreign Bank,3850,0,0,206106.3169,Yes
1. Good,8/7/13,3,own,Business,35.8,Citigroup,,12576.6,20,139099.5073,Yes
1. Good,8/6/13,8,mortgage,Consumer,44.2,HSBC,6000,33000,52.38,367452.253,Yes
1. Good,8/5/13,10,rent,Consumer,43.4,,3955.16,117900.33,71.37,1492049.576,Yes
1. Good,8/4/13,10,mortgage,Consumer,35.5,Citigroup,7563,54210,81.88,687303.1628,Yes
1. Good,8/3/13,,rent,Consumer,29.8,The Bank of New York Mellon,8800,63000,49.2,899899.1112,Yes
1. Good,8/2/13,10,rent,Business,57.4,Foreign Bank,,2107.65,2.07,350718.515,Yes
1. Good,8/1/13,10,rent,Consumer,21.8,Bank of America,1200,17241,41.21,214686.5297,Yes
1. Good,7/31/13,6,mortgage,Consumer,26.6,PNC,1656,0,0,224648.2462,No
1. Good,7/30/13,10,mortgage,Consumer,47,,2160,695.31,1.94,398221.3607,Yes
1. Good,7/29/13,0,own,Consumer,54.4,,6000,4500,10.88,50323.1479,Yes
1. Good,7/28/13,6,rent,Consumer,50.5,,3190,21000,25,310091.8064,Yes
1. Good,7/27/13,0,rent,Business,52.8,,,1590.03,2.46,207587.4421,Yes
1. Good,7/26/13,5,mortgage,Consumer,35.2,Citigroup,1278,0,0,170326.7727,No
1. Good,7/25/13,1,own,Consumer,37.8,Foreign Bank,1981,6000,7.75,68458.48332,No
1. Good,7/24/13,10,mortgage,Consumer,41.3,PNC,2095.39,0,0,216919.0798,Yes
1. Good,7/23/13,10,mortgage,Consumer,38.8,Bank of America,2000,32325,55.9,395334.1116,Yes
1. Good,7/22/13,10,mortgage,Consumer,32.8,,2700,42000,58.49,562976.9365,Yes
1. Good,7/21/13,10,rent,Consumer,54,Foreign Bank,2800,62805,87.47,840168.3953,Yes
1. Good,7/20/13,10,own,Consumer,34.1,Bank of America,1200,0,0,307462.0438,Yes
1. Good,7/19/13,1,rent,Business,48.9,,,0,0,181904.1827,Yes
1. Good,7/18/13,,mortgage,Business,43.8,,,1504.41,2.8,233173.2924,Yes
1. Good,7/17/13,,mortgage,Business,45.3,The Bank of New York Mellon,,931.41,2.52,134252.5922,Yes
1. Good,7/16/13,10,mortgage,Consumer,47.3,HSBC,10550,74862,76.89,962709.7974,Yes
2. Average,7/15/13,6,rent,Business,46.5,,,3550.8,2.2,569609.6453,Yes
1. Good,7/14/13,10,rent,Business,40.2,Citigroup,,1959.96,1.83,237505.4559,Yes
1. Good,7/13/13,,rent,Consumer,36.6,The Bank of New York Mellon,0,0,0,287058.0666,Yes
1. Good,7/12/13,7,rent,Consumer,40.2,,2000,777.72,1.78,422061.4378,Yes
1. Good,7/11/13,3,mortgage,Consumer,34.6,HSBC,1250,13800,17.69,168381.3231,Yes
1. Good,7/10/13,10,mortgage,Consumer,48.1,,0,700.17,1.91,298507.561,Yes
1. Good,7/9/13,,mortgage,Business,55.6,,,1871.73,2.27,329785.561,Yes
1. Good,7/8/13,6,mortgage,Consumer,32.3,Foreign Bank,3000,23265,34.08,246996.6709,Yes
2. Average,7/7/13,7,mortgage,Consumer,46.8,HSBC,1513,4338,6.74,45060.87847,No
1. Good,7/6/13,6,rent,Consumer,21,PNC,1400,22961.88,38,286193.18,Yes
1. Good,7/5/13,6,rent,Consumer,26.4,,1700,0,0,223878.4389,Yes
1. Good,7/4/13,6,own,Consumer,35.1,,5000,2164.65,1.78,346233.9592,Yes
1. Good,7/3/13,3,mortgage,Consumer,36.2,,0,12390.3,15,174324.1379,Yes
2. Average,7/2/13,3,rent,Consumer,33.7,PNC,1900,0,0,190828.4337,Yes
1. Good,7/1/13,2,rent,Consumer,27.5,Foreign Bank,5000,1618.74,1.74,201758.1332,No
1. Good,6/30/13,1,own,Consumer,28.8,JPMorgan Chase,2300,6000,9.09,73460.28418,Yes
1. Good,6/29/13,6,rent,Consumer,49.8,,4000,0,0,203711.5921,Yes
2. Average,6/28/13,10,rent,Business,36.5,The Bank of New York Mellon,,1749.3,1.99,249948.0467,Yes
1. Good,6/27/13,10,mortgage,Consumer,53.1,,5000,46632.03,30,693610.4878,Yes
1. Good,6/26/13,1,rent,Business,46.2,Foreign Bank,,931.41,2.52,125898.3354,Yes
1. Good,6/25/13,5,mortgage,Consumer,38.5,JPMorgan Chase,1235,18002.49,27.59,246948.6453,No
1. Good,6/24/13,10,mortgage,Consumer,63.2,PNC,2000,50466,67.77,516112.7616,No
1. Good,6/23/13,1,own,Consumer,43.3,Foreign Bank,3700,5701.23,9.05,71955.69357,Yes
1. Good,6/22/13,,mortgage,Consumer,38.8,Bank of America,7000,6558,10.83,82871.23976,No
1. Good,6/21/13,,mortgage,Business,45.3,The Bank of New York Mellon,,931.41,2.52,144651.3708,Yes
3. Risk,6/20/13,10,rent,Consumer,27.3,,2755,0,0,174835.6233,Yes
1. Good,6/19/13,10,rent,Business,65.7,Citigroup,,1750.02,1.96,312062.4897,Yes
1. Good,6/18/13,10,rent,Consumer,31.5,Foreign Bank,1192,47700,65.16,561773.218,Yes
1. Good,6/17/13,0,own,Business,45.3,,,3194.22,2.56,420939.6897,Yes
1. Good,6/16/13,10,mortgage,Consumer,54.7,,1692,47022,61.05,617575.4001,Yes
1. Good,6/15/13,10,rent,Consumer,38.5,Bank of America,1030,6000,13.33,89332.77698,Yes
2. Average,6/14/13,2,rent,Business,30,Foreign Bank,,1684.68,1.62,226487.398,Yes
1. Good,6/13/13,1,mortgage,Business,44.7,Citigroup,,622.17,1.64,324105.1328,Yes
2. Average,6/12/13,2,mortgage,Business,27.9,The Bank of New York Mellon,,5413.35,2.39,65874.91162,Yes
1. Good,6/11/13,10,mortgage,Consumer,60.3,JPMorgan Chase,1500,48000,81.72,599138.5068,Yes
1. Good,6/10/13,9,rent,Consumer,21.6,Foreign Bank,1500,39000,46.43,512291.5955,Yes
1. Good,6/9/13,10,mortgage,Consumer,61.8,,3010,84000,73.68,879212.9386,Yes
1. Good,6/8/13,,mortgage,Business,40.2,,,1430.82,2.13,203711.5921,Yes
2. Average,6/7/13,8,own,Business,19.2,,,2359.17,3.08,405779.2914,Yes
1. Good,6/6/13,,mortgage,Consumer,28.1,The Bank of New York Mellon,3000,20349,30.58,223813.4169,Yes
1. Good,6/5/13,10,rent,Business,30.6,,,1225.29,1.84,191401.5176,Yes
1. Good,6/4/13,10,own,Consumer,61.2,HSBC,5866,0,0,260221.4841,Yes
3. Risk,6/3/13,5,mortgage,Business,57.7,,,6599.97,10,66753.12891,Yes
1. Good,6/2/13,10,mortgage,Consumer,28.2,Bank of America,2480,6000,12.85,74966.05634,Yes
2. Average,6/1/13,5,mortgage,Business,36.2,,,48.87,1.63,261695.3347,Yes
1. Good,5/31/13,4,mortgage,Consumer,42.8,Wells Fargo,2500,14997,18.06,174119.6701,Yes
1. Good,5/30/13,10,mortgage,Consumer,49.7,Bank of America,3000,9912,39.79,139488.7352,Yes
1. Good,5/29/13,10,rent,Consumer,51.3,PNC,2100,67617,75.03,752479.2619,Yes
2. Average,5/28/13,0,rent,Consumer,53.1,PNC,1839,0,0,130904.3709,Yes
1. Good,5/27/13,6,own,Consumer,70.2,Citigroup,4000,23682.42,30.05,322033.6819,Yes
1. Good,5/26/13,7,rent,Consumer,33.9,,8293,1166.4,1.92,157812.626,Yes
1. Good,5/25/13,8,mortgage,Consumer,43.8,,2586,0,0,176029.0433,Yes
1. Good,5/24/13,,mortgage,Consumer,51.2,The Bank of New York Mellon,3900,9000,20.7,110883.1687,Yes
1. Good,5/23/13,6,rent,Business,58.3,Foreign Bank,,1162.68,1.74,141180.3109,Yes
1. Good,5/22/13,7,mortgage,Consumer,58,HSBC,3155,27000,75,388871.7818,Yes
1. Good,5/21/13,,rent,Consumer,50,The Bank of New York Mellon,0,31707,41.34,418126.615,Yes
1. Good,5/20/13,7,rent,Business,37.2,HSBC,,1584.63,4.06,265941.8934,Yes
1. Good,5/19/13,9,mortgage,Business,33.3,HSBC,,878.22,2.38,346375.5112,Yes
1. Good,5/18/13,4,mortgage,Consumer,48.8,,1600,15000,18.52,216257.8483,No
1. Good,5/17/13,9,own,Consumer,22,,1700,2631,6.1,405930.9614,Yes
1. Good,5/16/13,10,own,Business,42,Foreign Bank,,1710.12,1.75,240660.4624,Yes
1. Good,5/15/13,6,mortgage,Consumer,59.8,HSBC,1967,21000,59.19,244355.0848,Yes
2. Average,5/14/13,10,mortgage,Business,40.8,,,0,0,185471.57,Yes
1. Good,5/13/13,5,own,Business,29.2,HSBC,,1954.2,1.88,271752.6558,Yes
1. Good,5/12/13,6,mortgage,Business,51.4,Wells Fargo,,1650.78,2.3,225484.9286,Yes
1. Good,5/11/13,,rent,Consumer,33.8,The Bank of New York Mellon,,0,0,246996.6709,Yes
1. Good,5/10/13,8,rent,Business,48.9,,,1404.87,1.77,200598.7883,Yes
1. Good,5/9/13,7,mortgage,Consumer,34.3,HSBC,2330,30000,47.62,390020.9306,Yes
1. Good,5/8/13,7,mortgage,Consumer,25.3,Citigroup,1220,28437,79.12,307294.8238,No
2. Average,5/7/13,5,mortgage,Business,48.3,JPMorgan Chase,,3570.99,1.93,562104.943,Yes
1. Good,5/6/13,0,own,Business,50.3,Citigroup,,3607.38,2.04,461433.9434,Yes
1. Good,5/5/13,10,mortgage,Consumer,44.3,Foreign Bank,0,1932.69,1.93,295027.2158,No
1. Good,5/4/13,10,mortgage,Consumer,33.5,Bank of America,3000,41100,42.28,611187.6594,Yes
1. Good,5/3/13,10,rent,Business,39.8,Foreign Bank,,740.46,2.21,273783.1086,Yes
1. Good,5/2/13,6,rent,Consumer,34.6,US Bancorp,2930,21000,28.81,312971.8427,Yes
1. Good,5/1/13,3,rent,Consumer,44.3,,1300,13005,46.44,170420.8567,Yes
1. Good,4/30/13,6,rent,Consumer,49.8,Citigroup,954,21900,54.89,307462.0438,Yes
1. Good,4/29/13,7,mortgage,Consumer,26.2,Citigroup,1694,28500,52.78,405779.2914,Yes
1. Good,4/28/13,7,rent,Business,43.8,,,1240.8,2.91,177702.0994,Yes
1. Good,4/27/13,7,rent,Business,51.6,JPMorgan Chase,,1001.67,3,141696.612,Yes
1. Good,4/26/13,,rent,Consumer,58.3,The Bank of New York Mellon,1770,17400,21.09,179330.3425,Yes
1. Good,4/25/13,5,mortgage,Consumer,26.7,,530,18195,66.91,192590.6316,Yes
1. Good,4/24/13,,rent,Consumer,55.5,,1550,1521.06,2.12,179330.3425,Yes
1. Good,4/23/13,5,rent,Consumer,63.3,Citigroup,2075,16572,52.49,177818.0437,Yes
1. Good,4/22/13,10,mortgage,Consumer,22.2,Bank of America,486,1500,3.38,248173.7606,Yes
1. Good,4/21/13,10,own,Consumer,36.1,Bank of America,1500,1497.3,2.17,233250.4654,Yes
1. Good,4/20/13,3,mortgage,Business,63,HSBC,,13950,15,157812.626,Yes
1. Good,4/19/13,4,mortgage,Consumer,19.9,US Bancorp,1000,15000,35.9,214225.7716,No
1. Good,4/18/13,,rent,Consumer,44.9,The Bank of New York Mellon,3250,1636.95,2.2,187638.9611,Yes
2. Average,4/17/13,7,rent,Consumer,25.6,,1300,30000,36.16,447831.5692,Yes
1. Good,4/16/13,7,mortgage,Business,43.8,,,1705.83,2.77,223813.4169,Yes
1. Good,4/15/13,4,rent,Consumer,43.8,Wells Fargo,0,0,0,201929.3939,Yes
1. Good,4/14/13,6,mortgage,Consumer,39.1,Wells Fargo,2500,1022.7,1.87,180114.2399,Yes
1. Good,4/13/13,6,own,Consumer,48.4,PNC,2040,23846.4,24.84,286920.2086,Yes
3. Risk,4/12/13,1,own,Consumer,49.3,,2900,0,0,145259.3919,Yes
1. Good,4/11/13,0,rent,Business,60.1,Foreign Bank,,1644.84,4.31,259866.8102,Yes
1. Good,4/10/13,,rent,Business,41.8,The Bank of New York Mellon,,648.21,1.83,336057.6556,Yes
2. Average,4/9/13,4,rent,Business,33.3,,,4217.4,1.96,59269.94741,Yes
1. Good,4/8/13,10,rent,Business,49.3,,,2202.36,2.51,314285.097,Yes
1. Good,4/7/13,5,mortgage,Consumer,58.8,,3500,19394.01,23.98,266972.5707,Yes
1. Good,4/6/13,10,mortgage,Consumer,45,HSBC,3000,896.82,2.44,365322.5271,Yes
1. Good,4/5/13,10,mortgage,Consumer,26.5,Citigroup,0,0,0,246829.3351,Yes
1. Good,4/4/13,0,own,Business,38.9,,,3314.25,1.99,358958.2912,Yes
1. Good,4/3/13,10,rent,Consumer,35,Foreign Bank,3300,0,0,204050.5138,Yes
1. Good,4/2/13,3,rent,Business,40.4,HSBC,,11845.71,17,133208.0475,Yes
1. Good,4/1/13,7,mortgage,Consumer,60.3,Citigroup,2250,26700,68.99,292295.3612,Yes
1. Good,3/31/13,2,rent,Consumer,27.1,Citigroup,1300,1260.57,2.13,210510.423,Yes
2. Average,3/30/13,6,mortgage,Consumer,37.5,HSBC,1753,27000,41.75,383046.4211,Yes
1. Good,3/29/13,6,own,Business,54.4,JPMorgan Chase,,1305.63,3.52,159982.5324,Yes
1. Good,3/28/13,4,own,Consumer,43.3,JPMorgan Chase,0,15000,34.54,179102.3191,Yes
